Species (ASFIS species),Country (Country),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,recent,pvalue,grad,status,max,start,lng,lat,mean,duration
[Aplodactylus punctatus],Chile,40800,58800,74400,75600,92e3,100700,117e3,114e3,114e3,12e4,12e4,12e4,126e3,126e3,126e3,132e3,132e3,132e3,138e3,138e3,158700,143800,149300,137900,197179,140016,123670,91229,93821,82938,86361,79786,58640,33554,40733,26101,17243,17239,18083,19416,25443,25362,36437,34820,69181,67031,80072,64648,62870,57077,105451,65086,70689,86370,75739,64119,70763,69392,55922,62807,63358,65234,71075,91070,95515,104560,97048.33333333333,5.605319575759788e-4,1702.7135042735054,increase,197179,1950,-71,-30,85653.0303030303,66
[Calanus finmarchicus],Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,10,411,466,635,353,225,69,263,195,211,191,109,169,45,50,166,109,106,145,104,76,146,165,159,225,193,239,350,181,198,268,339,507,371.3333333333333,0.006551224650055862,6.812649572649569,increase,635,1981,10,62,107.53030303030303,35
[Chondracanthus chamissoi],Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,40,54,28,37,17,0,0,0,0,0,0,NA,NA,dangerous,54,2004,-71,-30,3.106060606060606,6
[Chondracanthus chamissoi],Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0.05,2,2,0.05,1,2,1,1,1,5,3,0.05,1,1.35,0.02426492564086232,0.08360683760683763,increase,5,2000,-76,-10,0.4113636363636364,16
[Dunaliella salina],Ukraine,100,100,100,100,100,200,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,3800,4900,6300,8100,10372,13249,2366,12473,11355,8452,4991,3258,9177,2931,3466,7961,3264,8464,4192,4231,5599,5e3,2942,5846,3552,3342,4103,2983,7911,1005,2554,1261,627,3083,772,1048,1294,1266,758,191,1470,81,551,1136,1124,1448,1236,2.371997408431295e-5,-190.83589743589744,dangerous,13249,1950,32,49,2953.7795454545453,61
[Gymnogongrus furcellatus],Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,246,0,65,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019152211084315852,-2.997606837606839,dangerous,246,1990,-71,-30,5.96969696969697,4
[Lessonia spp],New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,72,66,38,61,35,0,0,0,324,402,192,0,0,0,984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,dangerous,984,1984,174,-41,34.07575757575758,10
[Lessonia trabeculata],Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,dangerous,12,2000,-71,-30,0.19696969696969696,2
[Mazzaella laminarioides],Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,55,342,330,200,230,260,180,187,209,2.172086974448821e-5,11.020512820512817,new,342,2007,-71,-30,27.348484848484848,9
[Odontesthes smitti],Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,78,79,75,0.0032684546991051206,1.7767521367521362,new,79,2013,-64,-34,3.409090909090909,3
[Paralabrax spp],Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0.05,0.7,0.85,0.59,4.41,6.41,14.47,6.59,9.156666666666666,4.929744373349798e-4,0.2753470085470085,new,14.47,2006,-102,23,0.6222727272727273,10
[Porphyra columbina],Chile,0.05,0.05,0.05,0.05,0,0,0,0,0,0,100,100,200,200,200,100,200,200,300,200,260,210,370,260,487,516,598,319,526,1317,906,1061,37,32,29,67,121,135,483,567,1276,2172,3023,2512,1258,3416,5149,4566,6004,7373,5082,4575,3731,3537,3586,2713,3125,3301,2605,4424,3932,3221,4477,5190,4789,3963,4647.333333333333,NA,NA,NA,7373,1950,-71,-30,1653.0484848484848,60
