Var1,Freq
Marine fishes nei,108
Swordfish,73
"Sharks, rays, skates, etc. nei",69
Skipjack tuna,66
Yellowfin tuna,66
Tuna-like fishes nei,65
Albacore,63
Mullets nei,63
Bigeye tuna,62
Marine molluscs nei,61
Marine crabs nei,56
"Rays, stingrays, mantas nei",53
"Octopuses, etc. nei",52
Marine crustaceans nei,48
Blue marlin,47
Common dolphinfish,47
Flatfishes nei,45
Natantian decapods nei,43
Barracudas nei,41
Groupers nei,41
"Porgies, seabreams nei",41
Various squids nei,40
"Marlins,sailfishes,etc. nei",37
Carangids nei,36
"Groupers, seabasses nei",35
Penaeus shrimps nei,35
Atlantic bluefin tuna,34
Black marlin,34
Sea cucumbers nei,34
"Clams, etc. nei",33
Striped marlin,33
Atlantic bonito,32
Clupeoids nei,32
European seabass,32
Frigate and bullet tunas,32
"Grunts, sweetlips nei",32
Pacific cupped oyster,32
"Snappers, jobfishes nei",31
Tropical spiny lobsters nei,31
Blue shark,30
"Cuttlefish, bobtail squids nei",30
Cobia,29
"Croakers, drums nei",29
European anchovy,29
Shortfin mako,29
Turbot,29
Wahoo,29
Whiteleg shrimp,29
Atlantic mackerel,28
Gilthead seabream,28
Atlantic chub mackerel,27
European hake,27
European pilchard(=Sardine),27
Picked dogfish,27
Sea catfishes nei,27
Common squids nei,26
Garfish,26
Giant tiger prawn,26
Scorpionfishes nei,26
Common sole,25
European flat oyster,25
European sprat,25
Red seaweeds,25
Bluefish,24
Indo-Pacific sailfish,24
Silversides(=Sand smelts) nei,24
Snappers nei,24
Whiting,24
Aquatic invertebrates nei,23
Atlantic horse mackerel,23
Cupped oysters nei,23
Dogfish sharks nei,23
European eel,23
"Jacks, crevalles nei",23
Little tunny(=Atl.black skipj),23
Blue whiting(=Poutassou),22
Flathead grey mullet,22
John dory,22
Kawakawa,22
Marine shells nei,22
Norway lobster,22
Atlantic salmon,21
Demersal percomorphs nei,21
Emperors(=Scavengers) nei,21
European conger,21
Indo-Pacific swamp crab,21
Largehead hairtail,21
Marine turtles nei,21
Mediterranean mussel,21
Milkfish,21
Scallops nei,21
European flounder,20
European lobster,20
Gadiformes nei,20
"Gurnards, searobins nei",20
Porbeagle,20
Smooth-hounds nei,20
Surmullets(=Red mullets) nei,20
"Wrasses, hogfishes, etc. nei",20
Blue mussel,19
Bogue,19
Gastropods nei,19
Narrow-barred Spanish mackerel,19
Rainbow trout,19
Seerfishes nei,19
Spinefeet(=Rabbitfishes) nei,19
Sponges,19
Atlantic cod,18
Atlantic herring,18
Brown seaweeds,18
Gobies nei,18
Haddock,18
Picarels nei,18
Rays and skates nei,18
Saithe(=Pollock),18
Salema,18
Stromboid conchs nei,18
Amberjacks nei,17
Argentines,17
Barramundi(=Giant seaperch),17
"Butterfishes, pomfrets nei",17
Greater amberjack,17
Greater forkbeard,17
Sandeels(=Sandlances) nei,17
Sea urchins nei,17
Surmullet,17
Witch flounder,17
Atlantic halibut,16
Atlantic redfishes nei,16
Black seabream,16
Common dentex,16
Common octopus,16
Northern prawn,16
Alfonsinos nei,15
Amer. plaice(=Long rough dab),15
Atlantic sailfish,15
Common cuttlefish,15
Gracilaria seaweeds,15
Greenland halibut,15
Jack and horse mackerels nei,15
Megrim,15
Monkfishes nei,15
Round sardinella,15
Roundnose grenadier,15
Sardinellas nei,15
Sea mussels nei,15
Silver scabbardfish,15
Tusk(=Cusk),15
Abalones nei,14
Atlantic pomfret,14
Caribbean spiny lobster,14
Cephalopods nei,14
Common dab,14
Common pandora,14
European plaice,14
"Goatfishes, red mullets nei",14
Greater weever,14
Halfbeaks nei,14
Kuruma prawn,14
Ling,14
Longtail tuna,14
Orange roughy,14
Parrotfishes nei,14
Sargo breams nei,14
Wolffishes(=Catfishes) nei,14
Wreckfish,14
Blue ling,13
Blue swimming crab,13
Brill,13
Capelin,13
Elkhorn sea moss,13
Finfishes nei,13
Flyingfishes nei,13
"Hard corals, madrepores nei",13
Japanese carpet shell,13
Lemon sole,13
Mackerels nei,13
Pollack,13
Red porgy,13
Scads nei,13
Shads nei,13
Spinous spider crab,13
Sturgeons nei,13
Thornback ray,13
Tope shark,13
"Triggerfishes, durgons nei",13
Angler(=Monk),12
Aquatic plants nei,12
Atlantic white marlin,12
Atlantic wolffish,12
Blackbelly rosefish,12
Blackspot(=red) seabream,12
Deep-water rose shrimp,12
Dusky grouper,12
Grey gurnard,12
"Hairtails, scabbardfishes nei",12
Indian mackerel,12
Jellyfishes nei,12
Meagre,12
Mediterranean horse mackerel,12
Norway pout,12
Saddled seabream,12
Tilefishes nei,12
Black scabbardfish,11
Blackfin tuna,11
Common edible cockle,11
Edible crab,11
Eucheuma seaweeds nei,11
Goatfishes,11
Lizardfishes nei,11
Lumpfish(=Lumpsucker),11
Mojarras(=Silver-biddies) nei,11
Oilfish,11
Pacific chub mackerel,11
Pelagic percomorphs nei,11
Portuguese dogfish,11
Pouting(=Bib),11
Red drum,11
Sand steenbras,11
Sardinia coral,11
Sea trout,11
"Threadfins, tasselfishes nei",11
Various sharks nei,11
Whelk,11
White seabream,11
